program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Toxic Exposures Fund,Estimated Budget Authority,2024,20268.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2024,2024,2024,14,4
Toxic Exposures Fund,Estimated Budget Authority,2025,24455.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2025,2025,2025,14,5
Toxic Exposures Fund,Estimated Budget Authority,2026,29800.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2026,2026,2026,14,6
Toxic Exposures Fund,Estimated Budget Authority,2027,33700.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2027,2027,2027,14,7
Toxic Exposures Fund,Estimated Budget Authority,2028,38400.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2028,2028,2028,14,8
Toxic Exposures Fund,Estimated Budget Authority,2029,42600.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2029,2029,2029,14,9
Toxic Exposures Fund,Estimated Budget Authority,2030,47700.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2030,2030,2030,14,10
Toxic Exposures Fund,Estimated Budget Authority,2031,52200.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2031,2031,2031,14,11
Toxic Exposures Fund,Estimated Budget Authority,2032,56800.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2032,2032,2032,14,12
Toxic Exposures Fund,Estimated Budget Authority,2033,61300.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2033,2033,2033,14,13
Toxic Exposures Fund,Estimated Budget Authority,2034,65600.0,Millions of dollars,60044-2024-06-tef.xlsx,TEF-06-2024,false,60044,Toxic Exposures Fund / Spending for Covered Activities From the Toxic Exposures Funda / Estimated Budget Authority,fiscal_year,2034,2034,2034,14,14
